date,duration
6/27/13,369416
6/28/13,1766997
6/29/13,2250712
6/30/13,4037440
7/1/13,2719442
7/2/13,1866690
7/3/13,1603568
7/4/13,7193049
7/5/13,5490937
7/6/13,7528703
7/7/13,5325142
7/8/13,1704123
7/9/13,2159559
7/10/13,3121879
7/11/13,3553127
7/12/13,4409366
7/13/13,8037823
7/14/13,7081853
7/15/13,2888104
7/16/13,3192734
7/17/13,2956690
7/18/13,2416407
7/19/13,3333819
7/20/13,8250843
7/21/13,7460650
7/22/13,4534949
7/23/13,3562063
7/24/13,3594763
7/25/13,3924443
7/26/13,2829567
7/27/13,5737586
7/28/13,6606350
7/29/13,4419637
7/30/13,2843963
7/31/13,2852587
8/1/13,4902498
8/2/13,4929138
8/3/13,12169789
8/4/13,10283144
8/5/13,4109070
8/6/13,5078722
8/7/13,4172646
8/8/13,6356853
8/9/13,7512232
8/10/13,13214567
8/11/13,10950289
8/12/13,5661444
8/13/13,6058014
8/14/13,5642327
8/15/13,6472029
8/16/13,9317769
8/17/13,15149387
8/18/13,14009646
8/19/13,7977155
8/20/13,7431148
8/21/13,7195490
8/22/13,4475261
8/23/13,10437159
8/24/13,16269246
8/25/13,14317846
8/26/13,7840022
8/27/13,6189678
8/28/13,6075116
8/29/13,6911709
8/30/13,6357149
8/31/13,7791539
9/1/13,17321704
9/2/13,15548938
9/3/13,7259597
9/4/13,7064433
9/5/13,7179757
9/6/13,8570199
9/7/13,13802123
9/8/13,10133642
9/9/13,6559527
9/10/13,6388112
9/11/13,5791632
9/12/13,6009610
9/13/13,6724713
9/14/13,13590877
9/15/13,2184525
9/16/13,5282938
9/17/13,5957469
9/18/13,3887281
9/19/13,4805230
9/20/13,6757773
9/21/13,13746833
9/22/13,11035896
9/23/13,6004128
9/24/13,6194395
9/25/13,6380875
9/26/13,6589764
9/27/13,9490309
9/28/13,16962580
9/29/13,10975718
9/30/13,7773025
10/1/13,7038699
10/2/13,7370874
10/3/13,4504775
10/4/13,8008623
10/5/13,8297107
10/6/13,8069071
10/7/13,5777668
10/8/13,6678197
10/9/13,6827844
10/10/13,8379332
10/11/13,10405479
10/12/13,12494389
10/13/13,13994446
10/14/13,8431759
10/15/13,4398933
10/16/13,4317562
10/17/13,2964580
10/18/13,4569780
10/19/13,6395447
10/20/13,5757502
10/21/13,3859701
10/22/13,2576304
10/23/13,2909602
10/24/13,3041526
10/25/13,4355170
10/26/13,4391726
10/27/13,4229220
10/28/13,3696097
10/29/13,3798140
10/30/13,2857091
10/31/13,1300007
11/1/13,3209978
11/2/13,3537527
11/3/13,4507084
11/4/13,3956356
11/5/13,3326405
11/6/13,1908481
11/7/13,3029798
11/8/13,3858182
11/9/13,6312537
11/10/13,4461458
11/11/13,1541326
11/12/13,1813075
11/13/13,2045267
11/14/13,2539527
11/15/13,3051990
11/16/13,2066923
11/17/13,1339094
11/18/13,2065169
11/19/13,2529894
11/20/13,2322159
11/21/13,2169646
11/22/13,2048528
11/23/13,1045883
11/24/13,747223
11/25/13,1585282
11/26/13,1938405
11/27/13,1218063
11/28/13,585450
11/29/13,1105126
11/30/13,2287460
12/1/13,1286130
12/2/13,2101934
12/3/13,2358570
12/4/13,2694536
12/5/13,2051674
12/6/13,1631919
12/7/13,681922
12/8/13,301203
12/9/13,874358
12/10/13,842412
12/11/13,915921
12/12/13,864163
12/13/13,1361471
12/14/13,264581
12/15/13,337794
12/16/13,967221
12/17/13,1200611
12/18/13,1402011
12/19/13,1754001
12/20/13,1187506
12/21/13,574519
12/22/13,445158
12/23/13,763511
12/24/13,365753
12/25/13,99941
12/26/13,495478
12/27/13,1253013
12/28/13,2312839
12/29/13,585030
12/30/13,653529
12/31/13,399456
1/1/14,100383
1/2/14,77666
1/3/14,3503
1/4/14,218010
1/5/14,25476
1/6/14,393
1/7/14,0
1/8/14,0
1/9/14,597978
1/10/14,545435
1/11/14,600342
1/12/14,868934
1/13/14,1705945
1/14/14,1404644
1/15/14,1129481
1/16/14,1225299
1/17/14,990842
1/18/14,318591
1/19/14,420158
1/20/14,750068
1/21/14,577512
1/22/14,564957
1/23/14,526681
1/24/14,476732
1/25/14,321287
1/26/14,225310
1/27/14,216016
1/28/14,299772
1/29/14,665851
1/30/14,906251
1/31/14,997413
2/1/14,165622
2/2/14,286656
2/3/14,885553
2/4/14,797539
2/5/14,325436
2/6/14,633785
2/7/14,490930
2/8/14,252289
2/9/14,292160
2/10/14,745497
2/11/14,771355
2/12/14,1003353
2/13/14,960191
2/14/14,887250
2/15/14,484303
2/16/14,467738
2/17/14,338671
2/18/14,1100615
2/19/14,1548861
2/20/14,708176
2/21/14,1015058
2/22/14,876819
2/23/14,555993
2/24/14,928370
2/25/14,1005384
2/26/14,631112
2/27/14,602850
2/28/14,1088060
3/1/14,384362
3/2/14,237747
3/3/14,670687
3/4/14,1049259
3/5/14,664646
3/6/14,1041774
3/7/14,1929585
3/8/14,589094
3/9/14,910030
3/10/14,3539536
3/11/14,2317813
3/12/14,637772
3/13/14,1255575
3/14/14,3409519
3/15/14,2228734
3/16/14,538366
3/17/14,1760724
3/18/14,2937229
3/19/14,1536620
3/20/14,2340356
3/21/14,3984710
3/22/14,2529829
3/23/14,789621
3/24/14,1733024
3/25/14,1436152
