weekly_per sun,avg_temp,sum_pre,sum_snow,avg_wind
2013/6/30,70.82,0.00,0.00,9.16
2013/7/7,76.73,0.00,0.00,8.04
2013/7/14,83.74,0.00,0.00,8.56
2013/7/21,71.85,0.00,0.00,9.08
2013/7/28,69.15,0.00,0.00,7.48
2013/8/4,73.35,0.00,0.00,8.44
2013/8/11,70.17,0.00,0.00,7.05
2013/8/18,75.59,0.00,0.00,6.84
2013/8/25,78.81,0.00,0.00,8.97
2013/9/1,72.38,0.00,0.00,7.27
2013/9/8,74.36,0.00,0.00,10.25
2013/9/15,65.01,0.00,0.00,9.43
2013/9/22,64.02,0.00,0.00,7.42
2013/9/29,68.06,0.00,0.00,7.78
2013/10/6,61.23,0.00,0.00,7.24
2013/10/13,52.23,0.00,0.00,9.01
2013/10/20,43.18,0.00,0.00,9.83
2013/10/27,49.34,0.00,0.00,8.64
2013/11/3,46.79,0.00,0.00,11.15
2013/11/10,39.21,0.00,0.00,12.59
2013/11/17,39.41,0.00,0.00,11.85
2013/11/24,28.05,0.00,0.00,10.11
2013/12/1,33.35,0.00,0.00,8.69
2013/12/8,19.14,0.00,1.00,10.57
2013/12/15,27.38,0.00,0.00,8.89
2013/12/22,26.38,0.00,0.00,10.77
2013/12/29,17.90,0.00,5.00,11.12
2014/1/5,14.32,0.00,0.00,10.80
2014/1/12,26.46,0.00,0.00,12.83
2014/1/19,15.99,0.00,2.00,14.51
2014/1/26,15.05,0.00,4.00,11.61
2014/2/2,13.55,0.00,5.00,8.74
2014/2/9,13.79,0.00,0.00,7.70
2014/2/16,31.17,0.00,6.00,12.29
2014/2/23,16.78,0.00,1.00,11.95
2014/3/2,21.39,0.00,1.00,9.29
2014/3/9,35.98,0.00,4.00,13.42
2014/3/16,36.59,0.39,0.00,12.02
2014/3/23,32.42,0.16,0.00,11.74
2014/3/30,43.33,1.12,0.00,12.85
2014/4/6,53.41,0.02,0.00,8.82
2014/4/13,45.94,0.00,1.00,11.99
2014/4/20,54.33,0.79,0.00,11.68
2014/4/27,52.21,0.87,0.00,13.23
2014/5/4,62.41,1.44,0.00,11.98
2014/5/11,58.00,0.98,0.00,11.46
2014/5/18,65.75,0.65,0.00,8.55
2014/5/25,70.31,1.26,0.00,7.81
2014/6/1,72.32,0.32,0.00,10.08
2014/6/8,65.81,0.33,0.00,9.28
2014/6/15,75.36,1.22,0.00,10.31
2014/6/22,73.37,2.06,0.00,7.23
2014/6/29,71.74,2.47,0.00,10.70
2014/7/6,75.52,1.15,0.00,9.37
2014/7/13,70.24,0.42,0.00,7.30
2014/7/20,74.39,0.19,0.00,9.59
2014/7/27,72.30,0.25,0.00,8.79
2014/8/3,74.73,1.89,0.00,8.18
2014/8/10,71.75,1.31,0.00,8.86
2014/8/17,76.06,4.59,0.00,7.72
2014/8/24,77.42,1.30,0.00,8.93
2014/8/31,76.09,0.65,0.00,9.80
2014/9/7,63.16,1.73,0.00,9.30
2014/9/14,62.12,0.00,0.00,6.86
2014/9/21,65.41,0.00,0.00,6.63
2014/9/28,61.17,0.10,0.00,9.74
2014/10/5,54.18,0.06,0.00,8.70
2014/10/12,56.31,1.71,0.00,9.73
2014/10/19,54.32,0.02,0.00,8.46
2014/10/26,50.41,0.09,0.00,11.89
2014/11/2,47.84,0.02,0.00,12.89
2014/11/9,36.72,0.23,0.00,10.70
2014/11/16,26.24,0.04,0.00,13.20
2014/11/23,34.40,0.98,0.00,11.93
2014/11/30,34.03,0.00,0.00,10.52
2014/12/7,35.27,0.12,0.00,9.72
2014/12/14,36.87,0.14,0.00,8.27
2014/12/21,41.23,0.52,0.00,11.11
2014/12/28,25.71,0.08,0.00,9.81
2015/1/4,10.34,0.73,2.00,13.88
2015/1/11,25.81,0.15,1.00,9.86
2015/1/18,34.50,0.01,0.00,8.06
2015/1/25,30.77,0.13,1.00,9.89
2015/2/1,22.90,0.51,12.00,10.79
2015/2/8,25.03,0.00,0.00,13.18
2015/2/15,12.55,0.00,0.00,9.71
2015/2/22,15.97,0.06,3.00,10.75
2015/3/1,24.55,0.11,0.00,10.42
2015/3/8,44.69,0.00,0.00,7.31
2015/3/15,46.02,0.00,0.00,10.96
2015/3/22,33.84,0.33,2.00,11.09
2015/3/29,49.78,0.31,0.00,11.63
2015/4/5,51.73,1.14,0.00,11.51
2015/4/12,59.07,0.48,0.00,8.64
2015/4/19,47.67,0.71,0.00,12.68
2015/4/26,52.66,0.34,0.00,9.24
2015/5/3,64.89,1.58,0.00,8.90
2015/5/10,59.18,0.53,0.00,10.99
2015/5/17,60.97,0.02,0.00,10.67
2015/5/24,70.66,0.73,0.00,11.49
2015/5/31,61.01,0.79,0.00,10.12
2015/6/7,72.09,1.00,0.00,9.18
2015/6/14,69.93,4.00,0.00,8.25
2015/6/21,72.71,0.98,0.00,8.81
2015/6/28,68.21,0.02,0.00,6.91
2015/7/5,70.47,0.85,0.00,8.22
2015/7/12,76.06,1.30,0.00,9.64
2015/7/19,78.55,0.03,0.00,7.01
2015/7/26,80.49,0.07,0.00,9.02
2015/8/2,76.89,1.06,0.00,9.00
2015/8/9,76.06,0.54,0.00,7.27
2015/8/16,74.82,0.75,0.00,10.58
2015/8/23,67.80,0.31,0.00,8.09
2015/8/30,78.20,0.15,0.00,6.73
2015/9/6,71.68,0.48,0.00,8.62
2015/9/13,70.30,1.83,0.00,10.20
2015/9/20,67.98,0.00,0.00,6.60
2015/9/27,61.64,0.02,0.00,15.27
2015/10/4,59.93,0.02,0.00,8.86
2015/10/11,56.16,0.00,0.00,10.88
2015/10/18,60.07,0.13,0.00,11.41
2015/10/25,50.36,0.66,0.00,10.05
2015/11/1,57.30,0.47,0.00,10.31
2015/11/8,46.87,0.75,0.00,10.84
2015/11/15,47.41,0.45,3.00,13.82
2015/11/22,39.45,1.74,0.00,11.08
2015/11/29,37.95,0.43,0.00,9.37
2015/12/6,46.47,0.00,0.00,8.51
2015/12/13,40.95,1.24,0.00,12.90
2015/12/20,44.11,1.14,0.00,11.91
2015/12/27,31.41,0.46,3.00,14.37
2016/1/3,33.85,0.18,0.00,9.23
2016/1/10,23.26,0.35,1.00,12.95
2016/1/17,16.99,0.04,0.00,8.08
2016/1/24,33.85,0.06,0.00,11.74
2016/1/31,35.07,0.02,0.00,9.11
2016/2/7,21.54,0.00,0.00,11.61
